Time,Time Code,Country Name,Country Code,GDP ,Exports,Expenditure 
2012,YR2012,Andorra,AND,3188808943,NA,NA
2012,YR2012,Antigua and Barbuda,ATG,1199948148,948148148.1,211000000
2012,YR2012,Aruba,ABW,2615083799,1911731844,684357541.9
2012,YR2012,Australia,AUS,1.55E+12,3.33E+11,2.91E+11
2012,YR2012,Austria,AUT,4.09E+11,2.21E+11,81310035240
2012,YR2012,"Bahamas, The",BHS,10720500000,4087400000,1403100000
2012,YR2012,Bahrain,BHR,30749308511,31409042553,4748404255
2012,YR2012,Barbados,BRB,4610096000,1811200000,701413800
2012,YR2012,Belgium,BEL,4.96E+11,3.99E+11,1.21E+11
2012,YR2012,Bermuda,BMU,6378188000,3221785000,899708000
2012,YR2012,British Virgin Islands,VGB,NA,NA,NA
2012,YR2012,Brunei Darussalam,BRN,19047940301,13364276569,3512323944
2012,YR2012,Canada,CAN,1.83E+12,5.55E+11,3.85E+11
2012,YR2012,Cayman Islands,CYM,4291159006,NA,NA
2012,YR2012,Channel Islands,CHI,NA,NA,NA
2012,YR2012,Chile,CHL,2.67E+11,90427251746,32931915063
2012,YR2012,Croatia,HRV,57369359295,22335640413,12527381509
2012,YR2012,Curacao,CUW,3024525140,2415921788,464469273.7
2012,YR2012,Cyprus,CYP,25048659900,13846493640,4699473211
2012,YR2012,Czechia,CZE,2.09E+11,1.58E+11,40628170093
2012,YR2012,Denmark,DNK,3.27E+11,1.79E+11,86601087185
2012,YR2012,Estonia,EST,23019150071,19844301075,4188369957
2012,YR2012,Faroe Islands,FRO,2427190332,1275718602,770668968.5
2012,YR2012,Finland,FIN,2.58E+11,1.00E+11,62240302420
2012,YR2012,France,FRA,2.68E+12,7.84E+11,6.43E+11
2012,YR2012,French Polynesia,PYF,5692858773,NA,NA
2012,YR2012,Germany,DEU,3.53E+12,1.63E+12,6.80E+11
2012,YR2012,Gibraltar,GIB,NA,NA,NA
2012,YR2012,Greece,GRC,2.42E+11,69565465933,53877400965
2012,YR2012,Greenland,GRL,2609667674,978938282.3,1194630988
2012,YR2012,Guam,GUM,5265000000,1004000000,NA
2012,YR2012,"Hong Kong SAR, China",HKG,2.63E+11,5.67E+11,23891238203
2012,YR2012,Hungary,HUN,1.29E+11,1.11E+11,25706156779
2012,YR2012,Iceland,ISL,14751508134,8102421430,3651907860
2012,YR2012,Ireland,IRL,2.26E+11,2.36E+11,41015941739
2012,YR2012,Isle of Man,IMN,6690725118,NA,NA
2012,YR2012,Israel,ISR,2.62E+11,92621172361,58008075404
2012,YR2012,Italy,ITA,2.09E+12,5.92E+11,4.13E+11
2012,YR2012,Japan,JPN,6.27E+12,9.04E+11,1.25E+12
2012,YR2012,"Korea, Rep.",KOR,1.28E+12,6.92E+11,1.88E+11
2012,YR2012,Kuwait,KWT,1.74E+11,1.30E+11,26214362272
2012,YR2012,Latvia,LVA,28169902669,17308645446,4930392583
2012,YR2012,Liechtenstein,LIE,5456009385,NA,NA
2012,YR2012,Lithuania,LTU,42927454291,33580700076,7492880565
2012,YR2012,Luxembourg,LUX,59776383527,1.02E+11,9745995732
2012,YR2012,"Macao SAR, China",MAC,43189526778,39204245360,2965118462
2012,YR2012,Malta,MLT,9462289606,15434793781,1876654246
2012,YR2012,Monaco,MCO,5743029680,NA,NA
2012,YR2012,Nauru,NRU,96927201.48,69086409.57,NA
2012,YR2012,Netherlands,NLD,8.39E+11,6.67E+11,2.18E+11
2012,YR2012,New Caledonia,NCL,9659153061,1715324223,2279609046
2012,YR2012,New Zealand,NZL,1.76E+11,50852168175,34151793090
2012,YR2012,Northern Mariana Islands,MNP,746000000,379000000,NA
2012,YR2012,Norway,NOR,5.10E+11,2.07E+11,1.06E+11
2012,YR2012,Oman,OMN,87408842653,54825227568,14985955787
2012,YR2012,Panama,PAN,40429700000,30399600000,4388900000
2012,YR2012,Poland,POL,4.95E+11,2.19E+11,89755872870
2012,YR2012,Portugal,PRT,2.16E+11,81685225652,39645780144
2012,YR2012,Puerto Rico,PRI,1.02E+11,58351600000,10794600000
2012,YR2012,Qatar,QAT,1.87E+11,1.43E+11,22884065934
2012,YR2012,Romania,ROU,1.79E+11,64042731100,24678622917
